"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-04-29","96.4","2.62","6.05","Crochet, Garrett",672386,676979,,"ball",,,,,11,"Ball","R","R","L","TOR","BOS","B",,,0,2,2025,"0.63","1.48","-1.73","2.88",,,543807,2,6,"Bot",,,,,,,-13.064527283857466,-139.6905921210766,-6.183082362487296,11.32342299620956,33.1830039841415,-11.537059368587338,"3.08","1.52",,,,"96.6",2576,"6.7",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.75",,,,,,,,51,3,"4-Seam Fastball",2,7,2,7,7,2,2,7,"Standard","Strategic",137,"0.002","0.009",,,,"-0.009",,-5,-5,0.038,0.038,26,26,26,27,3,2,5,2,5,1,"1.01","0.63","-0.63","33.5",,,,,
"FC","2025-04-29","91.3","2.52","6.18","Crochet, Garrett",672386,676979,,"foul",,,,,5,"Foul","R","R","L","TOR","BOS","S",,,0,1,2025,"-0.39","0.5","-0.05","2.54",,,543807,2,6,"Bot",,,,,,,-5.6272532727007505,-132.91334766481947,-4.370957019577354,-3.4527657584848503,28.87266160351571,-25.502953299937595,"3.08","1.48",291,"87.5",32,"91.6",2726,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"54.05",,,,,,,,51,2,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",188,"-0.003","-0.055","70.5","6.5",,"0.055","88.0",-5,-5,0.041,0.041,26,26,26,27,3,2,5,2,5,1,"2.23","-0.39","0.39","36.4",-0.5704477552216083,23.98942917681286,22.649117881141365,40.59735425912594,21.07527667985531
"FC","2025-04-29","92.2","2.63","6.06","Crochet, Garrett",672386,676979,,"called_strike",,,,,4,"Called Strike","R","R","L","TOR","BOS","S",,,0,0,2025,"-0.21","1.07","-0.59","2.06",,,543807,2,6,"Bot",,,,,,,-7.736783073270304,-134.00465404781252,-6.6781118515161,-0.8686859288170722,29.669173663997768,-17.951986670405518,"3.17","1.52",,,,"92.5",2648,"6.6",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.93",,,,,,,,51,1,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",160,"-0.001","-0.042",,,,"0.042",,-5,-5,0.042,0.042,26,26,26,27,3,2,5,2,5,1,"1.62","-0.21","0.21","35.4",,,,,
"FF","2025-04-29","96.5","2.79","5.8","Crochet, Garrett",543807,676979,"walk","ball",,,,,4,"George Springer walks.","R","R","L","TOR","BOS","B",,,3,2,2025,"0.77","1.28","-0.51","2.58",,,,2,6,"Bot",,,,,,,-10.577077287281163,-139.91018197555786,-5.851754858009522,12.683535980987392,34.95278520311622,-14.209389430263338,"3.66","1.77",,,,"96.5",2438,"6.7",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.78",,0.691497,"0.7",1,0,0,,50,6,"4-Seam Fastball",2,7,2,7,7,2,2,7,"Standard","Standard",127,"0.005","0.259",,,,"-0.259",,-5,-5,0.037,0.037,26,35,26,36,3,2,5,2,5,1,"1.21","0.77","-0.77","27.1",,,,,
"SI","2025-04-29","95.5","2.88","5.82","Crochet, Garrett",543807,676979,,"ball",,,,,14,"Ball","R","R","L","TOR","BOS","B",,,2,2,2025,"1.58","0.42","1.29","2.42",,,,2,6,"Bot",,,,,,,-7.772135691366836,-138.73225719960033,-4.215480243541719,22.21156510587829,35.09325116512476,-25.912495450403135,"3.59","1.65",,,,"95.2",2360,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.98",,,,,,,,50,5,"Sinker",2,7,2,7,7,2,2,7,"Standard","Standard",131,"0.001","0.104",,,,"-0.104",,-5,-5,0.036,0.036,26,35,26,36,3,2,5,2,5,1,"2.11","1.58","-1.58","24.9",,,,,
"ST","2025-04-29","83.5","2.61","6.12","Crochet, Garrett",543807,676979,,"ball",,,,,13,"Ball","R","R","L","TOR","BOS","B",,,1,2,2025,"-0.85","0.14","-0.27","0.94",,,,2,6,"Bot",,,,,,,-4.982774815666505,-121.39301780885768,-5.702999494871117,-7.274585207266177,26.110492493728497,-29.764440554912674,"3.69","1.76",,,,"83.4",2511,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"54.02",,,,,,,,50,4,"Sweeper",2,7,2,7,7,2,2,7,"Standard","Standard",293,"0.001","0.042",,,,"-0.042",,-5,-5,0.035,0.035,26,35,26,36,3,2,5,2,5,1,"3.16","-0.85","0.85","38.6",,,,,
"FC","2025-04-29","92.4","2.48","6.09","Crochet, Garrett",543807,676979,,"foul",,,,,6,"Foul","R","R","L","TOR","BOS","S",,,1,1,2025,"-0.13","0.4","0.64","2.96",,,,2,6,"Bot",,,,,,,-4.42851705557017,-134.58390210297998,-3.0886677134726983,-0.6263368374067578,27.65955875295255,-26.822986534810273,"3.59","1.67",243,"75.4",34,"93.1",2608,"6.5",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.99",,,,,,,,50,3,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",173,"-0.001","-0.062","70.9","7.5",,"0.062","88.0",-5,-5,0.036,0.036,26,35,26,36,3,2,5,2,5,1,"2.25","-0.13","0.13","36.6",4.879090103966261,15.278127058470247,27.802130910964234,44.14212399382223,11.142103687133122
"CH","2025-04-29","89.3","2.51","5.76","Crochet, Garrett",543807,676979,,"ball",,,,,13,"Ball","R","R","L","TOR","BOS","B",,,0,1,2025,"1.41","0.77","-0.15","0.9",,,,2,6,"Bot",,,,,,,-9.549251701023374,-129.44256310653387,-7.533679295883466,17.843934851817476,28.760037538000617,-22.006667890600742,"3.86","1.79",,,,"89.5",2134,"6.8",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.73",,,,,,,,50,2,"Changeup",2,7,2,7,7,2,2,7,"Standard","Standard",121,"0.001","0.027",,,,"-0.027",,-5,-5,0.035,0.035,26,35,26,36,3,2,5,2,5,1,"2.12","1.41","-1.41","26.9",,,,,
"SI","2025-04-29","95.3","2.6","5.85","Crochet, Garrett",543807,676979,,"called_strike",,,,,9,"Called Strike","R","R","L","TOR","BOS","S",,,0,0,2025,"1.5","0.67","0.78","1.84",,,,2,6,"Bot",,,,,,,-8.184421665118393,-138.40005677030064,-6.351330815617144,21.108849991702872,33.63125941316699,-22.30360891639036,"3.72","1.68",,,,"95.3",2448,"6.6",778127,665966,671213,692225,608324,596115,680776,678882,677800,"53.9",,,,,,,,50,1,"Sinker",2,7,2,7,7,2,2,7,"Standard","Standard",133,"-0.001","-0.043",,,,"0.043",,-5,-5,0.036,0.036,26,35,26,36,3,2,5,2,5,1,"1.87","1.5","-1.5","28.1",,,,,
"FC","2025-04-29","92.8","2.72","6.11","Crochet, Garrett",623993,676979,"field_out","hit_into_play",,,,,4,"Anthony Santander grounds out, shortstop Trevor Story to first baseman Triston Casas.","R","R","L","TOR","BOS","X",6,"ground_ball",2,2,2025,"-0.3","0.73","-0.82","2.13",,,,1,6,"Bot",115.41,153.69,,,,,-8.435776103850538,-134.85147916120997,-5.958527347220448,-1.7527758453179807,29.913830260648886,-22.17512623514577,"3.28","1.53",1,"54.8",-58,"92.8",2718,"6.4",778127,665966,671213,692225,608324,596115,680776,678882,677800,"54.08",0.238,0.215,"0",1,0,0,1,49,5,"Cutter",2,7,2,7,7,2,2,7,"Standard","Standard",154,"-0.007","-0.228","64.4","6.0",0.238,"0.228","88.0",-5,-5,0.043,0.043,26,30,26,31,3,2,5,2,5,1,"1.93","-0.3","0.3","33.3",-9.85703807511316,21.95844063391754,37.84659055688603,26.923244714728646,19.069214336784775
